"","Indy.c1","PA.c2","Committee.c2","race.c1black","race.c1latinx","race.c1white","age.c1old","age.c1young","sex.c1male"
"1",0.0264470918161558,-0.16008854825792,0.00746500492864277,0.0245222739003699,0.0409097436384679,0.144333189346952,0.0289950523192527,0.0864570725332624,-0.0854590067608198
"10",-0.169414445710195,-0.0556212614584873,0.0427803405719244,0.160344511097065,0.154856203391855,0.310770717464193,-0.106249386545072,0.03291859334283,-0.109624826326453
"12",-0.33470359334462,0.105469108829251,0.0294172576560285,0.248267943534221,0.228328094457898,0.33808688976912,-0.208373487942852,-0.0429480552216604,-0.0480228148068604
"13",-0.507437469790356,0.164252420416336,0.0547412138041303,0.37369783608997,0.336396352997689,0.533826296738228,-0.313592870169744,-0.0608207214649523,-0.102264012457189
"14",-0.399926656943641,0.0572273691368083,0.0376605146786171,0.313496688106323,0.293351538706704,0.497549979434836,-0.234912209381038,-0.00412141653727956,-0.11707446182786
"15",-0.319236386333374,-0.0330215692444566,0.0503851469743813,0.278060549021593,0.268673666090878,0.481372184637579,-0.195296193875434,0.0274765644652189,-0.135046349159835
"16",0.0727366620097444,-0.160294430792991,-0.00423975455038583,-0.0144898157748361,0.00576796357108611,0.0731509978065282,0.0585711864290685,0.0846807309942642,-0.0601426610927982
"17",-0.130008733916997,-0.143196981667565,0.0234449206852059,0.149609755860556,0.159288313385636,0.341516007179081,-0.0647317971747695,0.0853799196477421,-0.130126205491083
"18",-0.337215930091565,0.104786117592748,0.0751525307485697,0.255837453356255,0.221256861579335,0.386144087357246,-0.227995291579671,-0.0495890615377567,-0.10424509306288
"19",-0.19065534505705,-0.113175350176682,0.0377514359099536,0.192145754501307,0.193528715258533,0.402264898623013,-0.106225695637616,0.0713661612262383,-0.147071012926076
"2",0.029984267992935,-0.250686564169063,0.012842478152687,0.0475278569433567,0.0724036268846501,0.243906183902578,0.0396262292171279,0.137124843916092,-0.14033087897615
"20",-0.0137419461142682,-0.291265852481206,-0.00119085851547775,0.0921565058226964,0.1252144140489,0.335593725584896,0.0283855773554958,0.168182080384448,-0.16099465386512
"21",-0.0207008435249326,-0.29534262091866,0.0312214042424673,0.10458153259575,0.129950229904325,0.369084315925226,0.00735794996482267,0.160158190042999,-0.190537838957847
"22",-0.219063395914489,-0.00153408398217455,0.0531077447929062,0.18700948398629,0.172137643843325,0.325514636815308,-0.143810853745635,0.00406246659094355,-0.104084532546291
"23",-0.203126810580663,0.0709651175731941,0.0435440270860089,0.151835754850405,0.130821884582274,0.221652125330609,-0.137890412411328,-0.0344521848086682,-0.0555863240012964
"24",0.076533416132703,-0.0970012049613529,-0.00673850063794014,-0.036197210075201,-0.0231041393505467,0.00077739924672987,0.0557580308978537,0.0507043596644783,-0.0267632323561085
"25",-0.0487921667856958,0.0129845624117117,-0.00608934072680311,0.033993098173037,0.0326341003669207,0.0519923160191757,-0.021631656856227,0.00195504647795433,-0.00792117640646426
"26",0.028815867218637,0.0201076505973367,-0.00567303449690779,-0.0298947075648358,-0.0304780355585055,-0.0639233295201389,0.0157338550949136,-0.0124441595067897,0.0236710358549049
"27",0.0540391610163122,-0.152820050047383,0.0108583136755416,0.0018959745508779,0.0182624549826629,0.094796929439351,0.0377379530486193,0.0748771334081896,-0.0680122356020629
"28",0.0166735051126724,-0.00877635779061387,0.00251898079024982,-0.00958510366681996,-0.00781337544423228,-0.0173012915206867,0.00573988265993138,-0.000680180419468255,0.00547810973487471
"29",-0.251411358134758,0.171598213489308,0.0490871432993418,0.163738669624388,0.129492647611494,0.179861759300516,-0.178095129963226,-0.0889143862689854,-0.0194839818243431
"3",0.0361787730503969,-0.312425565188244,0.0142993414121107,0.0598891570604123,0.091295588988438,0.30457573975467,0.0497276239770062,0.171621862129306,-0.17396155709485
"30-1",-0.274436534500904,0.0747559923334596,0.0523684027397661,0.209516516040788,0.184640412770154,0.320946437755814,-0.179198337832816,-0.0310598022073493,-0.0843485394417213
"30-2",-0.260785632501845,0.142743646969304,0.0361898518816885,0.178964759185383,0.153409191411613,0.204751371455917,-0.177204266494101,-0.0729166309415452,-0.014172617250418
"30-3",-0.145607108771183,0.0423831188665814,0.0179728232863994,0.108822936941029,0.0979305783653399,0.160526286746035,-0.0903322243025749,-0.0151071989392148,-0.0346333232131715
"30-4",-0.035564236899661,-0.0270736562761685,0.0147630189582042,0.039204590684846,0.038646037535367,0.0841131331504994,-0.0242707262179673,0.012984454270591,-0.0341273739294618
"31",-0.206070293229466,-0.0100397789479622,0.0318673387929969,0.17527442426337,0.166915067721546,0.303851331427199,-0.124574050334421,0.0145269249411294,-0.0875689346306724
"32",-0.0623605599931624,0.0457517055697204,-0.0310010170246506,0.0249855466723155,0.0179414160687388,0.0587106100291444,-0.00206189662578272,0.0134869986227713,-0.022227743747525
"33",-0.191343961033595,0.0524484483363046,0.0379354107653842,0.145506349704727,0.126859663813833,0.228741140607936,-0.123869323573115,-0.0200262420183553,-0.0651164735172041
"33-1",-0.0868717613224423,-0.00167197800634454,0.0100456770273585,0.0723056212469293,0.0689922169701001,0.124925660071961,-0.0502326890325942,0.00668953789148961,-0.0349181531289108
"33-2",-0.126361128496888,0.0124474944793373,0.0164946960533098,0.101634163093909,0.095016640765094,0.164894042015565,-0.0766212999931029,-0.000301210823509677,-0.0421168806684509
"34-1",-0.136777452576911,0.049747785668834,0.020828241975314,0.101491738633529,0.0908335852832431,0.134122160853981,-0.0917225611779363,-0.0254584824774964,-0.0203156944607702
"34-2",-0.211614784745559,0.0847512784641214,0.00697490730286905,0.150751650049111,0.14006976825393,0.181728349403703,-0.129712975979049,-0.0362085146791934,-0.00519161675614604
"35-4",-0.00805965446884497,-0.0581300978342526,0.0053399956618578,0.023864237467788,0.0292685048383876,0.0762663014234367,-0.000700177574652535,0.0315701580375911,-0.0365626043142146
"35-5",-0.0535988317660708,-0.0275525051141552,0.00832116949941059,0.0525106061359493,0.0530925840860791,0.106532703890648,-0.0293237001641123,0.0181477065001363,-0.0366347137950106
"35.3",-0.0156240720612498,-0.0410432747786994,-0.00086503921207203,0.0248920204317674,0.0307927385549583,0.0592935673728029,-0.00524203829731513,0.0222813782458788,-0.0190314602913251
"36",-0.00230030514019864,-0.161699236481195,-0.0100198118082717,0.0455252221453194,0.0666428943196176,0.17162102823367,0.0229066229196727,0.0950615634246185,-0.0782787365800176
"37",0.0887340307622225,-0.138097175515206,-0.0116595732006377,-0.0358657208914994,-0.0173006035666317,0.0288369812509535,0.0708176500910675,0.0759283707092612,-0.0446927215527816
"38",-0.0598608174854233,-0.0871966164458456,-0.014225791230468,0.071051516070921,0.0849026291308163,0.161532497571572,-0.0150159384347856,0.0580872308415143,-0.0474568661014798
"39",-0.0432993682191361,0.00128598094847136,-0.0372643854970549,0.0285438982630497,0.0377937165387827,0.0312818128903231,-0.00320443421278545,0.0150244005484363,0.0202948889958513
"4",0.0486218705737012,-0.29796085346172,0.00490082876899617,0.0439991720102071,0.0760422971958385,0.267367732389744,0.0600640913602586,0.165798785490292,-0.156306842029273
"40",0.0283662436631675,-0.24783852515455,0.00221025401339306,0.0473213007112812,0.0759273064645603,0.22955274334587,0.041361711479309,0.135707191561478,-0.122597019587249
"41",-0.38381223521155,0.291343706661575,-0.0371328099752751,0.223452173580283,0.197369311060647,0.166603632858673,-0.216803522810961,-0.11826607757883,0.0829635432926988
"42",-0.352061904602392,0.277492924091265,-0.0103433717733204,0.206125104482712,0.174970150822651,0.156844002676682,-0.212861201615944,-0.122028508850212,0.0622059350936131
"43",0.121686253331257,-0.187173311348351,-0.0240398913666829,-0.0501207918382527,-0.0215516372100291,0.0256149170750252,0.0984796604961878,0.102192452665291,-0.0458301053684485
"44",-0.0858935848817174,0.09043284085586,0.0156474112864975,0.0471938856815386,0.0325842384283139,0.0240751216267485,-0.0648727314430362,-0.0491814015951657,0.0138411767454095
"45",0.0624244055736597,-0.0569095493513922,-0.0139806687704808,-0.0371548505084442,-0.0268084828049218,-0.0290655457479391,0.047379148015424,0.0314126791386259,-0.00280985009841972
"46",-0.159104664278754,-0.0923266826347529,0.0392453292568415,0.160371067845027,0.158436407467027,0.342596150018958,-0.0912593171851419,0.0580282490599481,-0.133051872588294
"47",-0.353621740280145,0.166744245413899,0.0164303745647836,0.2420024306205,0.215469722537966,0.301964503899308,-0.212704918626963,-0.0647194223295502,-0.0262484509198424
"48",-0.11828798756229,-0.0703086536516277,0.0127227093248171,0.118192292292945,0.12275354851966,0.238143036109226,-0.0621233133607583,0.0453881146947322,-0.0768936414389813
"5",-0.150541703476841,-0.181090979051921,0.0587445232050045,0.181994616983756,0.185768479474595,0.4376309435765,-0.0879045503513489,0.100048735598646,-0.191184208731995
"50",0.0465949299977141,-0.170630834099923,0.00113024630879542,0.00973894458305465,0.0286756645188949,0.12706731459157,0.0451073936748032,0.0936585149459722,-0.0828279010540961
"51",0.0489622620581274,-0.149549315387465,-0.00583149940753054,0.00146786655006924,0.0207031875418812,0.0921411832742141,0.0457397248478004,0.0814234891916643,-0.0598400566862062
"52",-0.387941274335398,0.0371507859209337,0.0764558399030995,0.316601749924668,0.289677896884765,0.524539160617561,-0.248755209608857,-0.00838831566163508,-0.151751388998233
"53-1",-0.0555439979492928,-0.156872898167332,0.0235279328632032,0.0921837974484167,0.102769415414372,0.263422347089896,-0.0215991635784199,0.0890298834173421,-0.123856644104408
"53-2",0.152191520209067,-0.169103852135116,-0.014669032788357,-0.0788483791297796,-0.0551952612217568,-0.0251317809569111,0.108755868175001,0.0877032336817235,-0.0394048818491468
"54",-0.0873776718794859,-0.042640407160781,0.0169530353893914,0.0849962237634517,0.0841403415319094,0.176690607298657,-0.0484829769349403,0.0289049626391903,-0.065279803284871
"55-11",-0.428665159856561,0.175095172127392,0.0323341941413379,0.303452372391786,0.271722700754834,0.400781140387589,-0.262453154516433,-0.0684483934339253,-0.0533636196477717
"55-49",-0.449150289544998,0.110400005687092,0.0631960535486155,0.344432502248872,0.313337612552794,0.511604416575126,-0.284952919380317,-0.0430402667932169,-0.111281581654576
"56",0.040485985855654,-0.102714471397835,-0.00412268294601654,-0.00458642457107002,0.00868113171005779,0.054233159678532,0.035131611545361,0.0553720652216229,-0.0392486806759976
"6",0.0864344062071124,-0.265387657227311,-0.0174760138263132,0.00142331683329747,0.0369548582854288,0.161621971913296,0.0856518910014176,0.147920412222526,-0.102976569951768
"7",0.0920366341389234,-0.272186536546028,-0.00572143382315174,0.000169271370113367,0.0327486523084705,0.172832531711976,0.0846484251397397,0.149360467867948,-0.119187735192482
"8",-0.0728806797095397,-0.209510570850993,0.0344888897636853,0.123506438939887,0.138021491200045,0.346408777013792,-0.0322142032744514,0.114872842670984,-0.16077098116679
"9",0.00236016602321923,-0.174532346259396,0.00128777735523385,0.048684926717527,0.0701834616112625,0.177922593018795,0.0170724230437282,0.0937539629178618,-0.0826475246683906
"ABS",-0.00434407752094581,-0.0595351319049662,0.0066324728306782,0.0220910725789862,0.0281294455839544,0.0698854407208281,-0.000898621159893472,0.0296317598679712,-0.0327597913786466
"ABSENTEE",0.161348240832457,-0.209779085945625,-0.0212108289343435,-0.0748618549229046,-0.0434233650646406,-0.00417274656109058,0.118937899269245,0.108526807290057,-0.0450070281619987
"CJRC",-0.00406156233429522,-0.0436871367593445,0.00679190805912714,0.0167693221132799,0.0201096255186281,0.0565723762941635,-0.000922321085041053,0.0226976607480587,-0.0293494323829873
"NCCU",-0.0422906988655112,0.0176415544813502,0.00762840969516235,0.0306431244383931,0.0264047352440023,0.0416435369397287,-0.0284710477309277,-0.00857832715160443,-0.00829388032464493
"NRL",-0.00358076045812228,-0.0516500203996458,0.00582918901348831,0.0184693879597443,0.0229975485223097,0.0638200537514786,0.000721450161117421,0.0274153665423826,-0.0325165382478962
"ONE STOP DML",-0.0440971105657078,-0.138371359477199,0.0173385691223901,0.0778246616595753,0.0893889481188409,0.217221432038718,-0.0173851251229708,0.0758437411224402,-0.097324180414528
"ONE STOP ERL",0.0291312841109943,0.346638451827839,-0.0333157285848471,-0.127124677802285,-0.158993201722284,-0.431211034791627,-0.00522620078919123,-0.186284998136111,0.214703651615174
"ONE STOP NCCU",0.0250991700168953,0.319932760619213,-0.0305265931871129,-0.115839723053941,-0.145316742317178,-0.395506938038979,-0.00589569751094462,-0.171851621729335,0.197522723030945
"ONE STOP NRL",-0.00455637880422031,0.123516709149322,-0.0100129521973259,-0.0328407010338626,-0.0447285892731699,-0.132909065148537,-0.0108197379160987,-0.0656964662214313,0.0711597644114568
"ONE STOP SRL",-0.000914469299872784,0.147637978628081,-0.0125321712662471,-0.0430335633872056,-0.0570815203487498,-0.165157926731574,-0.0102150311996763,-0.0787330642662615,0.0866780224875343
"OS CJRC",-0.079409760360911,-0.0873817776002501,0.00242222556601106,0.0895699784500348,0.098799799544014,0.199498094570383,-0.033731707981713,0.0552485927939953,-0.0680162657888166
"OS DBOE",0.17945401066735,-0.25367647619353,-0.0142340331046821,-0.07673625466379,-0.0427845666703876,0.0280784774181366,0.13159978192245,0.131621635855703,-0.074188173837317
"OS DTN",-0.0540507978324939,-0.132584707277891,0.00236395345028751,0.0816738031664886,0.096266212717824,0.214889894721045,-0.0150833107843837,0.0785383617254652,-0.0851255361686822
"OS DUKE",0.0860958137350855,-0.331281219854706,0.011507352960992,0.0250641479777865,0.0607065610542009,0.252136030099809,0.0775743387767098,0.175964896067902,-0.162028167796357
"OS EAST",-0.114737597979337,0.0623947921574871,-0.00725878491115046,0.0731715660783939,0.0657248286215088,0.0863581006343699,-0.0608891868439882,-0.0188114053312834,-0.000329552170360089
"OS ERL",-0.127066185387208,-0.089823516865103,0.00229891309295898,0.128975062654319,0.138335900120893,0.264444614532866,-0.0587696953205123,0.0607716401549831,-0.0814061620358377
"OS ERU",0.0145801046295024,-0.191983094032571,0.00237392321151462,0.0426115641985417,0.0643648837028576,0.188940210118834,0.028179001265542,0.106070401321893,-0.0986300927559081
"OS MAIN",0.0609962787275445,-0.108779966114993,0.00369176928174046,-0.017679394442975,-0.00494701517823666,0.0355767024557484,0.0411144542744575,0.0527628586444192,-0.0395532771750738
"OS NCCU",-0.107255881720946,0.125718909874668,-0.0317693605205114,0.04786500250899,0.0427982670618306,-0.0240874508232825,-0.0580208081771837,-0.0558418780783061,0.0750701393933531
"OS NORL",0.110121448689882,-0.112763160996421,-0.00968320564226951,-0.0593204360164182,-0.0432143956676751,-0.0295951955611259,0.0763903951514866,0.0568848586736298,-0.0222254981790543
"OS NORTH",0.0376747795108359,-0.0742958049262951,-0.000751234383129043,-0.00951888691410152,-0.00016099693401507,0.0282044247254701,0.0280545504776952,0.0378473698766049,-0.0262996037378945
"OS NRL",-0.0841248004525031,-0.197952177355525,0.00211609201785783,0.124482794865705,0.146613988288661,0.32443540196738,-0.0235746943203098,0.118023899723814,-0.126838124267489
"OS SOUTH",0.0530859839303106,-0.0566239723379026,-0.00189205480553879,-0.027047445658579,-0.0191817244056762,-0.0127400196098294,0.034443171040505,0.0264093845623654,-0.0109355685849807
"OS SRL",-0.0770343709942803,-0.110511186063903,0.0023664273518137,0.0941419090145934,0.106081352201596,0.221236485448413,-0.0298211282671131,0.0680876496621059,-0.079466013680808
"PROV",-0.0481292246598068,-0.165077050685825,0.0201277045201243,0.0891096164079193,0.103065407523947,0.252925528791366,-0.0180546218447242,0.0902771175292165,-0.114505108998757
"PROVISIONAL",-0.229161681254793,0.0384914075763743,0.0285860548081744,0.178380411891115,0.163337872399873,0.288571904435099,-0.136848587033152,-0.00520605798782443,-0.076004124735322
"SRL",-0.0120898956074309,-0.0341492666612648,0.0060312791061397,0.0204890052760716,0.0228951853891738,0.0562864192712499,-0.00588779520497366,0.0182398906344732,-0.0257332886375678
