"","Indy.c1","PA.c2","Committee.c2","age.c1old","sex.c1male"
"1",0.014,-0.075,-0.027,0.05,-0.088
"10",-0.076,-0.017,0,-0.099,-0.106
"14",-0.182,0.054,0.018,-0.237,-0.167
"15",-0.142,0.001,0.02,-0.207,-0.142
"17",-0.058,-0.06,-0.009,-0.058,-0.144
"18",-0.16,0.066,0.021,-0.227,-0.109
"19",-0.088,-0.043,-0.003,-0.1,-0.161
"2",0.012,-0.121,-0.03,0.058,-0.146
"20",-0.006,-0.136,-0.03,0.041,-0.188
"21",-0.016,-0.143,-0.023,0.015,-0.191
"22",-0.1,0.01,0.007,-0.138,-0.101
"23",-0.091,0.047,0.005,-0.126,-0.057
"24",0.041,-0.044,-0.031,0.086,-0.027
"25",-0.014,0.018,-0.021,0.01,-0.03
"26",0.016,0.032,-0.017,0.026,0.046
"28",0.017,0.001,-0.017,0.028,0.017
"29",-0.107,0.1,0.013,-0.16,-0.01
"3",0.012,-0.152,-0.033,0.066,-0.183
"30-2",-0.105,0.089,0.018,-0.171,-0.005
"30-3",-0.077,0.029,-0.002,-0.093,-0.07
"32",-0.035,0.044,-0.047,0.061,-0.12
"36",0.005,-0.071,-0.026,0.042,-0.097
"37",0.045,-0.064,-0.036,0.103,-0.053
"4",0.019,-0.144,-0.036,0.08,-0.173
"40",0.017,-0.118,-0.028,0.056,-0.127
"43",0.065,-0.088,-0.04,0.128,-0.053
"44",-0.029,0.055,-0.007,-0.041,0.021
"45",0.037,-0.023,-0.03,0.079,-0.01
"46",-0.076,-0.036,-0.007,-0.079,-0.146
"5",-0.076,-0.084,-0.006,-0.082,-0.186
"50",0.024,-0.08,-0.031,0.07,-0.089
"52",-0.182,0.035,0.025,-0.256,-0.162
"6",0.044,-0.126,-0.038,0.107,-0.119
"7",0.044,-0.131,-0.039,0.11,-0.128
"8",-0.037,-0.099,-0.015,-0.024,-0.161
"9",0.01,-0.08,-0.02,0.029,-0.08
